id,label
0,文化
1,非科学
2,生活
3,景观景点
4,旅游
5,地理
6,地形地貌
7,地点
8,历史
9,医学
10,社会
11,中国体育学会
12,体育协会
13,体育其他
14,山脉
15,科学百科疾病症状分类
16,科学
17,科技产品
18,医学术语
19,互联网产品
20,疾病
21,学科
22,软件
23,技术
24,中国电子学会
25,语言术语
26,科技术语
27,科学百科信息科学分类
28,股票基础术语
29,股票经济术语
30,股票类术语
31,金融
32,经济术语
33,教育
34,网站
35,股票进阶术语
36,经济
37,公司
38,互联网
39,特产
40,音乐作品
41,流行音乐
42,单曲
43,通信技术
44,体育项目
45,体育
46,人物
47,科学百科工程技术分类
48,中国食品科学技术学会
49,文化活动
50,中国通信学会
51,化妆品
52,专有名词
53,宗教人物
54,宗教
55,非足球
56,非地理
57,足球
58,大牌
59,组织机构
60,笔记本电脑
61,知名品牌
62,电脑品牌
63,手机品牌
64,家电品牌
65,奢侈品牌
66,中国品牌
67,佛教
68,音乐
69,娱乐术语
70,语言
71,成语
72,字词
73,经济人物
74,官员
75,艺术作品
76,书籍
77,娱乐作品
78,90年代电影
79,喜剧电影
80,惊悚电影
81,科幻电影
82,恐怖电影
83,电影作品
84,香港电影
85,电影
86,政府机构
87,娱乐
88,国家级-非遗
89,传统戏剧-非遗
90,非遗-非遗
91,曲艺
92,科学百科其他分类
93,建筑
94,小说
95,大学
96,文化术语
97,动画
98,非生物
99,疾病症状
100,政治
101,古代史
102,生物物种
103,生物学
104,微生物
105,科学百科心理学分类
106,社会事件
107,宠物
108,动物
109,游戏
110,中国化工学会
111,自然
112,历史事件
113,出版物
114,动漫形象
115,行业人物
116,外国历史
117,哲学
118,网络小说
119,玄幻小说
120,文学作品
121,小说作品
122,中国文学
123,虚拟人物
124,法律术语
125,剧情剧
126,恐怖剧
127,科幻剧
128,电视剧作品
129,电视剧
130,社会活动
131,城市
132,文学
133,科学百科农业科学分类
134,科学百科生命科学分类
135,足球其他
136,足球术语
137,历史人物
138,公文
139,非体育
140,科学百科化学分类
141,政治军事书籍
142,科学百科环境生态分类
143,足球比赛
144,社会团体
145,俱乐部
146,体育赛事
147,角色扮演游戏
148,游戏作品
149,模拟游戏
150,动作游戏
151,足球规则
152,舞蹈
153,生活用品
154,法律
155,美术
156,股票财务术语
157,舞蹈术语
158,法律法规
159,诗词
160,股票名称
161,股票其他
162,股票美股
163,天体
164,军事
165,神话人物
166,民俗-非遗
167,节日
168,当代历史事件
169,学校
170,戏剧
171,地理学术语
172,化学
173,农学
174,数学
175,科学百科数理科学分类
176,物理学
177,传统节日
178,天文
179,科学百科天文学分类
180,病毒
181,水利部发展研究中心
182,科学百科地球科学分类
183,古典音乐
184,自然资源
185,生活术语
186,医院
187,艺术家
188,植物
189,运动员
190,棋类
191,体育人物
192,近代史
193,文化用品
194,文物考古
195,历史机构
196,交通工具
197,细菌
198,雕塑
199,科学家
200,哲学家
201,艺术书籍
202,中国心理学会
203,食品
204,菜品
205,小吃
206,娱乐设备
207,政治人物
208,君主
209,手机
210,外国文学
211,战争剧
212,中药
213,粤菜
214,航空航天
215,篮球
216,心理学
217,美国品牌
218,体育组织
219,体育术语
220,体育设施
221,游戏形象
222,摄影术语
223,摄影
224,剧情电影
225,爱情电影
226,行政区划
227,草本植物
228,现代史
229,历史著作
230,汽车
231,品牌
232,犯罪剧
233,美剧
234,动作剧
235,历史书籍
236,虚拟物品
237,娱乐人物
238,科学百科中医药分类
239,国家机构
240,中医
241,中国核学会
242,漫画
243,自然现象
244,鱼类
245,事业单位
246,化学品
247,中国力学学会
248,工业产品
249,鸟类
250,电子产品
251,科学百科航空航天分类
252,真菌
253,战争
254,外国历史事件
255,军事人物
256,统计学
257,中国水产学会
258,观赏植物
259,茶
260,科研机构
261,计算机书籍
262,青春小说
263,散文
264,木本植物
265,歌手
266,家具
267,中国汽车学会
268,交通线路
269,民族
270,交通
271,犯罪电影
272,动作电影
273,经济组织
274,国家
275,演员
276,大陆演员
277,电力工程
278,社科书籍
279,遗址
280,二战
281,二战战役
282,中国历史事件
283,互联网人物
284,武器装备
285,制作人
286,音乐人物
287,演出
288,文学家
289,中国行政区划
290,中国高校
291,公办高校
292,研究生院高校
293,211高校
294,985高校
295,专科高校
296,综合类高校
297,教育部隶属高校
298,湖北高校
299,本科高校
300,中国历史人物
301,港口
302,科研人员
303,教师
304,大学教师
305,果实
306,外国行政区划
307,历史年代
308,话题人物
309,民族类高校
310,地方所属高校
311,贵州高校
312,学院
313,中国大学
314,音乐奖项
315,古生物
316,足球俱乐部
317,北京高校
318,外国历史人物
319,鲁菜
320,日本电影
321,公园
322,传统体育、游艺与杂技-非遗
323,娱乐活动
324,物理学家
325,新石器时代
326,理工类高校
327,综艺节目
328,上海高校
329,法律书籍
330,股票H股
331,美国电影
332,药品
333,小学
334,二战参战国家
335,报纸
336,网球
337,80年代电影
338,民俗
339,编剧
340,导演
341,元首
342,二战人物
343,现代文学
344,诗人
345,医学仪器
346,清朝
347,古代历史事件
348,将领
349,烈士
350,经济学家
351,工程师
352,即时战略游戏
353,网络游戏
354,车站
355,交通设施
356,中国节日
357,街区路
358,河流
359,珠宝配饰品牌
360,居家生活品牌
361,漫画作品
362,文化人物
363,教育学家
364,生物学家
365,天文学家
366,历史学家
367,政治学家
368,数学家
369,化学家
370,文化节
371,世界级-非遗
372,相机
373,营业场所
374,网页游戏
375,奖项
376,北京菜
377,箱包品牌
378,法国品牌
379,手表品牌
380,疗法
381,戏剧家
382,乒乓球
383,古装剧
384,村庄
385,农林类高校
386,福建高校
387,山东高校
388,网络用语
389,心理学家
390,医学家
391,建筑工程
392,篮球运动员
393,足球运动员
394,美术家
395,期刊
396,西半球
397,北美
398,北半球
399,乡镇
400,辽宁高校
401,搞笑剧
402,老友记
403,狗
404,犬种
405,汽车品牌
406,户外运动品牌
407,德国品牌
408,中国生物医学工程学会
409,园林
410,北京
411,行星
412,书法家
413,浙江高校
414,80年代演员
415,专辑
416,言情小说
417,手机游戏
418,军事事件
419,科学百科药物分类
420,河北高校
421,独立学院
422,考试书籍
423,宁夏高校
424,其他中央部委隶属高校
425,江苏高校
426,名著
427,河南高校
428,美国演员
429,60年代演员
430,爱情剧
431,益智游戏
432,法学家
433,文学形象
434,美术作品
435,天津高校
436,模特
437,广东高校
438,日本音乐人
439,00年代音乐人
440,中学
441,非娱乐作品
442,饮品
443,台湾电影
444,羽毛球
445,律师
446,武术指导
447,功夫演员
448,自然保护区
449,政法类高校
450,山西高校
451,昆虫
452,日本演员
453,师范类高校
454,电视剧形象
455,采矿工程
456,2013年电影
457,休闲食品
458,哺乳动物
459,外国
460,作家
461,游泳
462,70年代演员
463,2015年电影
464,湖南高校
465,台湾演员
466,00年代电影
467,大陆音乐人
468,教练
469,民族音乐
470,艺人
471,娱乐明星
472,道教
473,神话
474,重庆高校
475,词语
476,自然地理
477,高等职业技术院校
478,90年代电视剧
479,云南高校
480,艺术类高校
481,医生
482,港台节目
483,访谈节目
484,外国大学
485,工业技术
486,田径
487,大陆剧
488,2012年电视剧
489,博物馆
490,陕西高校
491,安徽高校
492,2011年电视剧
493,韩剧
494,数码相机品牌
495,瑞士品牌
496,工业书籍
497,吉林高校
498,机场
499,股票化工
500,股票沪市A股
501,网络文学
502,爱情小说
503,文学体裁
504,古言小说
505,伊雪枫叶三生三世
506,动画作品
507,高等专科院校
508,管理学
509,策略游戏
510,瑞典品牌
511,人类学
512,四川高校
513,医药类高校
514,武侠小说
515,中成药
516,民办高校
517,非教师
518,意大利品牌
519,曲艺-非遗
520,传统舞蹈-非遗
521,黑龙江高校
522,团队
523,皇帝
524,南北朝
525,刘宋
526,文化设施
527,甘肃高校
528,2014年电影
529,韩国电影
530,动画电影
531,短期职业大学
532,江西高校
533,2012年电影
534,大陆电影
535,财经类高校
536,棋牌游戏
537,民间文学-非遗
538,自然学科
539,川菜
540,体育奖项
541,语言类高校
542,电影形象
543,英国演员
544,机械工程
545,文言文
546,星座
547,占卜
548,社会学家
549,心理书籍
550,亚洲历史
551,摇滚音乐
552,轴承
553,书法
554,体育类高校
555,服装鞋靴品牌
556,湘菜
557,楼盘
558,娱乐团体
559,韩国音乐
560,电影奖项
561,60年代音乐人
562,广西高校
563,计算机术语
564,考古学
565,股票银行
566,保健书籍
567,科学百科诊疗方法分类
568,景点
569,其他文化
570,贵族
571,经管书籍
572,传统音乐-非遗
573,股票商业贸易
574,股票中小板
575,商业贸易
576,粤东
577,英国品牌
578,冬季项目
579,日韩品牌
580,音乐术语
581,通讯软件
582,90年代演员
583,欧洲历史
584,新疆高校
585,软体动物
586,摄影作品
587,香港演员
588,省会
589,科学奖项
590,塔吉克斯坦
591,芜湖景点
592,芜湖交通
593,皖江城市带
594,安徽
595,射击游戏
596,二战影视作品
597,韩国演员
598,水利工程
599,股票最新术语
600,组合
601,股票交易术语
602,台剧
603,曲艺家
604,果蔬
605,恒星
606,港剧
607,爬行动物
608,足球组织
609,酸味菜
610,清淡味菜
611,地方特产
612,足球国家队
613,童话
614,字典
615,中国其他行政区划
616,矿物
617,1997年美国公告牌百强单曲榜冠军歌曲
618,现代历史事件
619,浙菜
620,传统美术-非遗
621,大陆节目
622,美食节目
623,传记
624,景区
625,英国音乐人
626,美国音乐人
627,研究院
628,励志书籍
629,股票高级术语
630,股票技术术语
631,小说家
632,黑客
633,酒店
634,金三角线材
635,通信
636,计算机
637,电脑
638,VGA矩阵切换器
639,80年代音乐人
640,石榴石
641,珠宝
642,天然宝石
643,医学书籍
644,股票基金术语
645,水上项目
646,影视演员
647,河北
648,地级市
649,中国
650,2013年电视剧
651,化学工程
652,股票行情术语
653,二战会议协定
654,冒险游戏
655,80年代电视剧
656,2011年电影
657,网络红人
658,股票采掘
659,检查项目
660,古代文学
661,建筑师
662,百强县
663,烟台
664,山东
665,男
666,足球官员
667,传统技艺-非遗
668,化妆品品牌
669,两栖动物
670,日剧
671,2015年电视剧
672,二战武器装备
673,纪实节目
674,多肉植物
675,测试
676,排球
677,东北菜
678,汉朝
679,政治家
680,生物化学
681,工学类专业
682,本科专业
683,泰剧
684,建筑术语
685,土木工程
686,政治事件
687,设施仪器
688,院系
689,股票电子
690,其他
691,俗语
692,英国电影
693,物理化学
694,乡村音乐
695,日本动画
696,股票食品饮料
697,经济植物
698,股票深市A股
699,湖南
700,电影术语
701,建筑学
702,内蒙古高校
703,台湾音乐人
704,地名
705,70年代音乐人
706,宋朝时期
707,历史时期
708,南宋
709,两宋
710,股票房地产
711,遥久
712,文娱比赛
713,漫画家
714,船舶工程
715,股票A股指数
716,分类
717,游艺春秋
718,3DMMORPG
719,气象学
720,高等学校分校
721,穿越小说
722,中国西部
723,2014年电视剧
724,手术
725,宋代
726,商丘
727,北宋
728,中国历史政权
729,格斗游戏
730,恐怖小说
731,00年代电视剧
732,秦朝
733,法家
734,宰相
735,成语典故
736,传统医药-非遗
737,图书馆
738,足球场
739,海南高校
740,桌游
741,神奇宝贝训练家
742,管理学类专业
743,科技
744,足球教练
745,保健品
746,文字游戏
747,PPP模式
748,奇幻
749,党务知识
750,编曲
751,小学教师
752,港台明星
753,摄影家
754,文学书籍
755,幼儿园
756,娱乐主持人
757,生活节目
758,飞禽
759,蛋
760,高中教师
761,90年代音乐人
762,推理小说
763,日韩节目
764,中国气象学会
765,气象术语
766,非生活
767,花艺设计
768,花艺师
769,花艺
770,插花
771,文学术语
772,谚语
773,电视剧术语
774,科幻小说
775,水果味菜
776,演艺人物
777,新加坡演员
778,热点人物
779,戏剧术语
780,初中教师
781,传播学
782,海洋科技
783,电视节目
784,选秀节目
785,党史
786,中国近代史
787,中国共产党创始人之一
788,中国共产党
789,商业俱乐部
790,母婴品牌
791,西藏高校
792,"历史,中国古代史"
793,会计师
794,烹饪书籍
795,理学类专业
796,音乐节目
797,火车站
798,咸鲜味菜
799,"清朝,历史,名人"
800,英剧
801,江苏菜
802,悬疑剧
803,论文
804,美国空军
805,美国海军陆战队
806,美国海军
807,第五代战斗机
808,战斗机
809,城镇
810,中国地名
811,乡级行政区划
812,国产动画
813,美国
814,外国城市
815,"经济,贸易,外贸"
816,人种
817,重竞技运动员
818,田径运动员
819,搞笑节目
820,农学类专业
821,非娱乐
822,影视作品
823,电影，社会，学说
824,美容书籍
825,舞蹈家
826,青海高校
827,历史人物·唐代乐圣
828,房地产 反腐 贪污 公安 打黑
829,纤维光学；物理学；自然科学
830,戛纳
831,影后
832,闽菜
833,裁判
834,水生植物
835,股票交通运输
836,理学
837,音乐组合
838,乐队
839,中国环境科学学会
840,新闻学
841,黔西南首府
842,黔西南州
843,贵州兴义
844,兴义市
845,兴义城市
846,法学类专业
